缸盖,缸盖
孔,
垫块,
变形,
空速,空速管
加温,
开关,
插销,
孔,
开,
偏,
左,
右,
尾,
撑,尾撑管
管下,
下部,
高度,
高度表,高度表
天线,
安装,
处,
电缆,
过孔,
无,
橡胶,
橡胶垫,橡胶垫
胶垫,
空速,
加温,
开关,
插销,
孔,
未,
开,
机翼,
上,
电缆,
套管,
固定,
卡箍,
已,
脱落,
左,
襟翼,襟翼
拉杆,拉杆
端头,
拧,
入,
深度,
发动,
发动机,发动机
发动机短,
动机,
短舱,短舱
下,
罩,下罩
安装,
孔,
对齐,
上,
罩,上罩
连接,
短舱,
后边,
边缘,
螺旋,
螺旋桨,螺旋桨
桨叶,
表面,
干涉,
液压,
系统,液压系统
污染,
三位,
四通,
阀,三位四通阀
工作,
不稳,
稳定,
地面,
液压,
车,地面液压车
供电,
不稳,
稳定,
液压,
液压泵,液压泵
输出,
流量,
低,
装机,
交付,
起落,
起落架,起落架
落架,
时间,
长,
装机,
交付,
起落,
起落架,
落架,
时间,
长,
减,
摆,
器,减摆器
失效,
拉杆,
舱门,
装配,
不当,
舱门,
拉杆,
断裂,
密封,
密封件,密封件
和易,
易损,
易损件,易损件
故障,
滑,
油箱,滑油箱
口盖,
内部,
裂纹,
右,
起落,
起落架,
落架,
缓冲,
支柱,缓冲支柱
内,
筒,内筒
上部,
刮油,
环,刮油环
脱离,
驱动,
电路,
电路板,驱动电路板
上,
K2,
继电,
继电器,继电器
电器,
触点,
冷,
粘,
主控,
主控制,
控制,
盒,控制盒
测试,
测试仪,测试仪
上,
测试,
测试点,测试点
试点,
电压,
测量,
确认,
认输,
输油,
输油泵,输油泵
油泵,
2,
电源,
无,
输出,
电路,
电路板,电路板
逐级,
检查,
确认,
驱动,
电路,
电路板,
K42,
继电,
继电器,继电器
电器,
故障,
变换,
电路,
电路板,
上,
蓄电,
蓄电池,蓄电池
电池,
网,
1,
控制,
继电,
继电器,
电器,
K3,
触点,
粘连,
全机,
未,
断电,
情况,
下,
卸,
拔,
插头,
驱动,
电路,
电路板,
上,
继电,
继电器,
电器,
K34,
常,
闭,
触电,
粘连,
次测试,
测试,
故障,
无,
复现,
发电,
发电机,发电机
电机,
较长时间,
长时间,较长
时间,时间
未,
运行,
碳刷,碳刷
表面,
氧化,
调压,
压板,调压板
组件,
故障,
AP1,
板,
级,
中,
RP2,
电位,电位计
计,
失效,
滤波,
电容,滤波电容盒
盒内,
内部,
延时,
继电,
继电器,延时继电器
电器,
吸,
合,吸合
换,
滤波,
电容,滤波电容盒
盒,
后,
故障,
消失,
驱动,
电路,
电路板,电路板
上,
K41,
继电,
继电器,继电器
电器,
常,
开,
触点,
粘连,
FP01X,
插座,
X50,
X110,
针,
引出,
出线,
相连,
驱动,
电路,
电路板,
上,
K43,
继电,
继电器,
电器,
常,
开,
触点,
粘连,
发射,
发射机,发射机
机电,
调,
衰减,
衰减器,电调衰减器
管脚,
3,
管脚,
7,
虚,
焊,虚焊
同步,
控制,
制单,
单元,同步控制单元
管脚,
虚,
焊,
主,
中放,
单元,中放单元
电路,
中,
微波,
单片,
发达,
器,微波单片发达器
失效,
AP2,
中压,
控,
振荡,
振荡器,压控振荡器
AP1,
焊,
盘,焊盘
相连,
焊,
针,焊针
虚,
焊,虚焊
密钥,
接入,
信号,
信号线,信号线
焊接,
错误,
天线,
方位,
轴,
顺时,
顺时针,顺时针
时针,
逆时针,逆时针
时针,
零点,
方位,
旋,方位旋
变压,
环,变压环
松动,
导致,
外环,
松动,
天线,
线控,
控制,
盒,天线控制盒
惯,
导,惯导
串口,
接口,
芯片,
硬件,
故障,
收发,
组合,
端口,
连接,
插头,
信号,
信号线,
破损,
功放,
中频,
输入,
电缆,电缆
电缆头,
附件,
紧固,
不到,
到位,到位
收发,
组合,收发组合
端口,
连接,
插头,
信号,
信号线,信号线
破损,
功放,
中频,
输入,
电缆,
电缆头,
附件,
紧固,
不到,
到位,
功放,
放电,
电容,功放电容
模块,
滤波,
电容,滤波电容
脱落,
收发,
组合,收发组合
监控,
板,
CPLD,
芯片,CPLD芯片
失效,
天线,
驱动,
盒内,驱动盒
内部,
C11,
电容,电容
击穿,
重新安装,
新安,
安装,安装
后,
安装,
位置,
安装,
偏差,
极化,
扇,
齿,极化扇齿
变形,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,发动机
动机,
支架,
间隙,
小,
发电,
发电机,发电机
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
小,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
小,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
小,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
小,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
小,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
小,
散热,
散热器,
支架,
耳,
片,耳片
滑,
油,
散热,
散热器,滑油散热器
端,
安装,
耳,
片,
间距,
不符,
现场,
测量,
检查,
发现,
发动,
发动机,
动机,
供油,
油管,
上,
滚,
波,
尺寸,
超出,
出航,
航标,航标
现场,
测量,
检查,
发现,
发动,
发动机,
动机,
供油,
油管,
上,
滚,
波,滚波
尺寸,
超出,
出航,
航标,
现场,
测量,
检查,
发现,
发动,
发动机,
动机,
供油,
油管,
上,
滚,
波,滚波
尺寸,
超出,
出航,
航标,
现场,
测量,
检查,
发现,
发动,
发动机,
动机,
供油,
油管,
上,
滚,
波,
尺寸,
超出,
出航,
航标,
现场,
测量,
检查,
发现,
发动,
发动机,
动机,
供油,
油管,
上,
滚,
波,滚波
尺寸,
超出,
出航,
航标,
短舱,
下,
罩,下罩
密封,
密封条,密封条
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,下罩
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
发动,
发动机,
动机,
测绘,
过程,
中选,
选择,
基准,
基准点,基准点
准点,
点位,
位置,
差错,
空气,
空气冷却,
气冷,
冷却,
风罩,空气冷却风罩
未,
开,
孔,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
发动,
发动机,
发动机短,
动机,
短舱,
上,
罩,
外部,
撕裂,
支架,
架上,
上部,
横梁,
焊接,
位置,
偏下,
支架,
架上,
上部,
横梁,
焊接,
位置,
偏下,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,散热片
覆盖,
冷却,
风罩,冷却风罩
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,发动机
动机,
散热,
散热片,散热片
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,散热片
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
增压,
增压器,
回,
油管,
组件,
滚,
波,
直径,
偏大,
空气,
空气冷却,
气冷,
冷却,
风道,
滑,
油,滑油
恒温,
活门,
支架,
干涉,
空气,
空气冷却,
气冷,
冷却,
风道,
滑,
油,
恒温,
活门,
支架,活门支架
干涉,
采用,
短,
接,短接
方式,
逐一,
一排,
排除,
滑,
油管,滑油管
管路,
堵塞,
恒温,
活门,
异常,
常以,
散热,
散热器,
异常,
可能性,
检查,
磁,
堵,磁堵
无异,
异常,
汽油,
清洗,
滑,
油箱,滑油箱
故障,
仍,
发动,
发动机,发动机
发动机短,
动机,
短舱,短舱
下,
罩,
板,罩板
短舱,
下,
罩,
连接,
连接处,
粘接,
不,
牢固,
电源,
电源模块,
模块,
激励,
源,激励源
故障,
供油,
供油泵,供油泵
油泵,
进,
油嘴,进油嘴
断裂,
机身,
油箱,
加油,
口盖,加油口
内,
橡胶,
橡胶圈,橡胶圈
胶圈,
断裂,
信号,
调理,
盒,信号调理盒
测试,
燃油,
燃油泵,燃油泵
油泵,
1,
输出,
引脚,引脚
输入,
引脚,
粘连,
缸,
温,缸温
传感,
传感器,传感器
感器,
故障,
安装,
变,
距,变距
碳刷,碳刷
螺钉,
钉螺,
螺杆,
前端,
螺旋,
螺旋桨,螺旋桨
根部,
轻微,
干涉,
nan,
测量,
发现,
两,
滑环,滑环
之间,
电阻,电阻
电阻值,
阻值,
远超过,
超过,
电阻,
电阻值,
阻值,
电机,
绕组,绕组
滑环,滑环
焊接,焊接
处,
裂纹,裂纹
导致,
绕组,
断路,断路
螺旋,
螺旋桨,螺旋桨
防护,
贴,防护贴
脱落,
螺旋,
螺旋桨,
防护,
贴,
开裂,
螺旋,
螺旋桨,
防护,
贴,
开裂,
螺旋,
螺旋桨,
防护,
贴,
开裂,
螺旋,
螺旋桨,
防护,
贴,
开裂,
螺旋,
螺旋桨,
防护,
贴,
开裂,
变,
距,
机构,
故障,
起动,
油路,起动油路
弯管,弯管
组件,组件
下部,
螺纹,
部位,
有损,
损坏,
弯管,
组件,
固定,
支架,固定支架
轻微,轻微
扭曲,扭曲
汽化,
汽化器,汽化器
化器,
盖,
上,
固定,
支架,固定支架
螺钉,螺钉
螺帽,螺帽
滑,
丝,滑丝
汽化,
汽化器,
化器,
针,
阀,
关闭,
不严,
散热,
安装,
装点,
处,
减震,
垫,减震垫
橡胶,
橡胶垫,橡胶垫
胶垫,
老化,
碎裂,
器件,
共面,
性,共面性
差,
管脚,管脚
焊接,焊接
不良,不良
RS422,
焊,
线,
错误,
左,
升降,
升降舵,升降舵
方向,
方向舵,方向舵
控制,
盒,控制盒
故障,
左,
升降,
升降舵,
方向,
方向舵,
控制,
盒,
故障,
CPU,
通道,CPU通道
2,
EPROM,
器件,EPROM器件
失效,
分析,
飞,
参数,
数据,
发现,
设备,
横滚,
角,横滚角
15,
°,
20,
°,
时,
毛刺,毛刺
时长,
100ms,
产品,
外,
插头,
螺母,
安装,
位置,
禁止,
布线,
区,布线区
小,
导致,
平,
垫,平垫
印制,
印制板,印制板
上,
余度,
2,
功率,
线,
之间,
间隙,
小,
垂直,
陀螺,垂直螺母
安装,
支架,安装支架
右前,
前脚,
连接,
螺杆,连接螺杆
断裂,
B,
通道,B通道
陀螺,
电机,陀螺电机
堵,
转,堵转
离散,
输出,
驱动,
板,离散输出驱动板
光,
耦,光耦
失效,
转接,
板,转接板
外,
插头,
螺母,
安装,
位置,
禁止,
布线,
区,
偏,
小,
导致,
平,
垫,
印制,
印制板,
上,
余度,
2,
功率,
线,
之间,
间隙,
小,
转接,
板,
外,
插头,
安装,
平,
垫,
余度,
2,
功率,
线,
搭接,搭接
惯性,
平台,惯性平台
内存,
水汽,水汽
全,
压,全压振动筒
接管,全压接管
嘴,
滤网,滤网
黑色,
胶体,胶体
堵死,
接触,
接触点,
触点,
组件,
脱落,
舵机,
机内,
内行,
内行星,
行星,
减速,
减速器,行星减速器
升降,
升降舵,升降舵
齿轮,齿轮
I,
连接,
键,
长时间,
时间,
磨损,
舵机,
机内,
内行,
内行星,
行星,
减速,
减速器,
升降,
升降舵,
齿轮,
I,
连接,
键,
长时间,
时间,
磨损,
惯,
导,惯导
交流,
交流电,交流电
流电,
输入,输入端
端,
26V,
地线,地线
断开,
主控,
盒,主控盒
交,
直流,
供,
地点,供地点
烧,
断,
软件,
参数,
修正,
判读,
减震,
减震器,
支架,减震器支架
一根,
螺柱,
受,
外力,
弯曲,
俯仰,
柜架,
间隙,
变大,
检,
车检,
检查,
发现,
2,
号,
垂直,
陀螺,垂直陀螺
工作,
状态,
故障,
未,
复现,
1,
号,
垂直,
陀螺,
上,
电,上电
后,
马达,
绿,
，“,
启动,
红,
汇流,
条,汇流条
反复,
网,
陀螺,
自检,
现象,
按压,
飞机,
机尾,
撑,尾撑
调整,
飞机,
姿态,
速率,
陀螺,速率陀螺
工作,
陀螺,
供电,
交流,
交流电,
流电,
检,
车,
下,
电,
停止,
检查,
一段,
一段时间,
段时间,
时间,
后,
再上,
电检,上电
检查,
1,
号,
垂直,
陀螺,
马达,
绿,
，“,
启动,
红,
慢慢,
修正,
一段,
一段时间,
段时间,
时间,
后,
，“,
启动,
变绿,
通电,
电检,
检查,
倾斜,
修,
飞,
分解,
产品,
品检,
检查,
液体,
开关,液体开关
324,
258,
工作,
性能,
不符,
符合,
符合要求,
C,
通道,C通道
倾斜,
陀螺,倾斜陀螺
无,
输出,
陀螺,
电机,陀螺电机
堵,
转,
分解,
故障,
陀螺,
发现,
陀螺,
电机,
机轴,
轴承,
承保,
器,轴承保持器
掉,
渣,
C,
通道,
倾斜,
陀螺,
电机,
声音,
异常,
分解,
故障,
陀螺,
发现,
陀螺,
电机,
机轴,
轴承,
承保,
器,
掉,
渣,
地面,
通电,
电检,
检查,
两个,
无线,
无线电,
高度,
高度表,无线电高度表
度数,
数值,
均,
2,
3,
数值,
后用,
手,
两个,
无线,
无线电,
高度,
高度表,
天线,
外来,
来回,
晃动,
高度,
高度表,
数值,
显示,
均,
系统,
中,
陀螺,
性能,
超标,
中,
后,
地板,
上,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
6,
7,
框,
间,
蒙皮,
C,
上天,
天线,
未,
开,
安装,
孔,安装孔
未,
安装,
衬套,
右后,
地板,
上,
单相,
相变,单相变
4,
嵌入,
件,
未,
安装,
中,
后,
地板,
上,
发电,
发电机,发电机
电机,
控制,
控制器,控制器
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
6,
7,
框,
间,
蒙皮,
C,
上天,
天线,
未,
开,
安装,
孔,
未,
安装,
衬套,
右后,
地板,
上,
单相,
相变,
4,
嵌入,
件,
未,
安装,
中,
后,
地板,
上,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
右后,
地板,
上,
单相,
相变,
4,
嵌入,
件,
未,
安装,
中,
后,
地板,
上,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
右后,
地板,
上,
单相,
相变,
4,
嵌入,
件,
未,
安装,
中,
后,
地板,
上,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
6,
7,
框,
间,
蒙皮,
C,
上天,
天线,
未,
开,
安装,
孔,
未,
安装,
衬套,
中,
后,
地板,
上,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
左,
右,
机翼,右机翼
搭,
铁,
带,搭铁带
松动,
搭,
铁,
带,
端头,
开,
孔,
尺寸,
偏大,
中,
后,
地板,
上,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
嵌入,
件,
装,
偏,
约,
2mm,
通风,
盒,通风盒
通风,
通风管,通风管
风管,
惯,
导,惯导
托架,托架
开,
孔,开孔
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
机身,机身
身上,
蒙皮,上蒙皮
差分,
GPS,
天线,GPS天线
安装,
孔,安装孔
后移,
约,
3mm,
1,
框,
腹板,腹板
上,
大气,
气机,大气机
右,
），,
框,
腹板,
右,
纵梁,
相连,
相连接,
连接,连接
铆钉,铆钉
干涉,
空速,空速管
加温,
开关,加温开关
销,
孔,销孔
开,
偏,
需,
补,
孔,
并重,
开,
孔,
发电,
发电机,
电机,
控制,
控制器,发电机控制器
左侧,
2,
安装,
孔,
错位,
机翼,
翼翼,
翼根,翼根
处,
机身,
对接,
上,
下,
翼面,翼面
缘,
条,缘条
上有,
托板,
螺母,托板螺母
脱落,
左,
机翼,
2,
处,
已,
松动,
弹,
垫,弹垫
拧紧,
后发,
发生,
断裂,
通风,
盒,
通风,
通风管,
风管,
惯,
导,
托架,
开,
孔,
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
孔,
位置,
后移,
约,
1mm,
蒙皮,
斜边,
干涉,
蒙皮,
安装,
面,
贴合,
弹,
垫,
拧紧,
后发,
发生,
断裂,
通风,
盒,
通风,
通风管,
风管,
惯,
导,
托架,
开,
孔,
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
孔,
位置,
后移,
约,
1mm,
蒙皮,
斜边,
干涉,
蒙皮,
安装,
面,
贴合,
弹,
垫,
拧紧,
后发,
发生,
断裂,
通风,
盒,
通风,
通风管,
风管,
惯,
导,
托架,
开,
孔,
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
孔,
后移,
约,
3mm,
空速,
加温,
开关,
销,
孔,
开,
偏,
需,
补,
孔,
并重,
开,
孔,
机翼,
翼翼,
翼根,
处,
机身,
对接,
上,
下,
翼面,
缘,
条,
上有,
托板,
螺母,
脱落,
弹,
垫,
拧紧,
后发,
发生,
断裂,
通风,
盒,
通风,
通风管,
风管,
惯,
导,
托架,
开,
孔,
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
孔,
位置,
后移,
约,
1mm,
蒙皮,
斜边,
干涉,
蒙皮,
安装,
面,
贴合,
左,
机翼,
襟翼,
舵机,
右下,
托板,
螺母,
螺纹,
滑,
扣,
已,
安装,
螺钉,
拆卸,
须,
更换,
螺母,
机翼,
翼翼,
翼根,
处,
机身,
对接,
上,
下,
翼面,
缘,
条,
上有,
托板,
螺母,
脱落,
左,
机翼,
1,
处,
已,
松动,
弹,
垫,
拧紧,
后发,
发生,
断裂,
通风,
盒,
通风,
通风管,
风管,
惯,
导,
托架,
开,
孔,
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
孔,
后移,
约,
3mm,
发电,
发电机,
电机,
控制,
控制器,
左侧,
2,
安装,
孔,
错位,
机翼,
翼翼,
翼根,
处,
机身,
对接,
上,
下,
翼面,
缘,
条,
上有,
托板,
螺母,
脱落,
左,
机翼,
2,
搭,
铁,
带,
已,
松动,
弹,
垫,
拧紧,
后发,
发生,
断裂,
通风,
盒,
通风,
通风管,
风管,
惯,
导,
托架,
开,
孔,
5,
号,
地板,
上,
开,
孔,
三者,
同轴,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
孔,
位置,
后移,
约,
1mm,
蒙皮,
斜边,
干涉,
蒙皮,
安装,
面,
贴合,
机翼,
翼翼,
翼根,
处,
机身,
对接,
上,
下,
翼面,
缘,
条,
上有,
托板,
螺母,
脱落,
左,
机翼,
1,
处,
已,
松动,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,托架
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,嵌入件
安装,
位置,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,
安装,
位置,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,
安装,
位置,
油箱,
地板,
上,
蓄电,
蓄电池,
电池,
支架,
3,
嵌入,
件,
未,
安装,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,
安装,
位置,
油箱,
地板,
上,
蓄电,
蓄电池,
电池,
支架,
3,
嵌入,
件,
未,
安装,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,
安装,
位置,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,
安装,
位置,
弹,
垫,
拧紧,
后发,
发生,
断裂,
5,
号,
地板,
上,
惯,
导,
托架,
通风,
盒,
安装,
不,
协调,
需,
调整,
惯,
导,
托架,
通风,
盒,
嵌入,
件,
安装,
位置,
弹,
垫,
拧紧,
后发,
发生,
断裂,
机,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
1,
框,
腹板,
上,
大气,
气机,
旁边,
铆钉,
干涉,
机,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
1,
框,
腹板,
上,
大气,
气机,
旁边,
铆钉,
干涉,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
单相,
相变,单相变
安装,
位置,
有误,
需,
重,
铆,
托板,
螺母,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
单相,
相变,
安装,
位置,
有误,
需,
重,
铆,
托板,
螺母,
机身,
身上,
蒙皮,
差分,
GPS,
天线,
安装,
安装,
位置,
后移,
约,
2mm,
需,
调整,
GPS,
天线,
安装,
位置,
单相,
相变,
安装,
位置,
有误,
需,
重,
铆,
托板,
螺母,
下,
盖,
机头,
头罩,
胶,
接,
下,
盖,
机头,
头罩,
胶,
接,
下,
盖,
机头,
头罩,
胶,
接,
短舱,
下,
罩,短舱下罩
密封,
密封条,密封条
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
短舱,
下,
罩,
密封,
密封条,
封条,
尺寸,
图纸,
尺寸,
不符,
卫,
通,
链路,卫通链路
功放,功放
放电,
电源,电源
组合,
安装,
时,
惯,
导,惯导
通风,
盒,通风盒
干涉,
卫,
通,
链路,
功放,
放电,
电源,
组合,
支架,
左侧,
安装,
孔,
距,孔距
设计,
不符,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
卫,
通,
链路,
功放,
放电,
电源,
组合,
安装,
时,
惯,
导,
通风,
盒,
干涉,
卫,
通,
链路,
功放,
放电,
电源,
组合,
支架,
左侧,
安装,
孔,
距,
设计,
不符,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
中,
罩,中罩
位置,
处,
相机,项集
维护,
口盖,维护口盖
安装,
后,
数码,
数码相机,数码相机
相机,
镜头,镜头
干涉,干涉
相机,
维护,
口盖,
后下,
罩,
安装,
反向,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
卫,
通,
链路,
功放,
放电,
电源,
组合,
安装,
时,
惯,
导,
通风,
盒,
干涉,
卫,
通,
链路,
功放,
放电,
电源,
组合,
支架,
左侧,
安装,
孔,
距,
设计,
不符,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,可拆卸
拆卸,
蒙皮,
组件,蒙皮组件
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
右方,
方向,
方向舵,右方向舵
可上,上下
窜,
动,窜动
左侧,
可拆卸,
拆卸,
蒙皮,
组件,
右侧,
可拆卸,
拆卸,
蒙皮,
组件,
机身,
连接,
连接处,
未,
涂装,
密封,
密封胶,
发动,
发动机,
动机,
测绘,测绘
过程,
中选,
选择,
基准,
基准点,基准点
准点,
点位,
位置,
时,
差错,
装机,
过程,
中发,
发现,
空气,
空气冷却,
气冷,
冷却,
风罩,空气冷却风罩
未,
开,
孔,开孔
装机,
过程,
中发,
发现,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
装机,
过程,
中发,
发现,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
发动,
发动机,
