编号,序号,所属系统,产品名称,故障部位,深层现象,故障现象,故障分析,处理方式,处理方式标签2,处理方式标签,系统标签
R346,346,地面站、车辆,视频处理2席位,鼠标,鼠标损坏,情报处理站视频处理2席位视频处理主机启动后死机无法进行键盘鼠标操作，经多次断电重启后仍然不能恢复正常,视频处理主机需要连接鼠标键盘共享器，键盘共享器启动时，要对键盘鼠标进行自检，如果鼠标或键盘工作不正常，则共享器无法正常工作,更换故障件,2,更换故障件,3
R348,348,动力装置系统,发动机,短舱下罩,未进行发动机预装配,发动机安装到位后，发动机短舱下罩安装孔无法全部对齐，且与发动机短舱上罩无法连接,发动机上、下罩装配不合理,返修下罩，重新钻孔,1,维修(无需更换）,4
R349,349,动力装置系统,发动机,短舱上罩；短舱下罩,预装配时未修配,短舱上罩组件和下罩组件安装后，其后边缘与螺旋桨桨叶表面干涉,预装配时未修配,修锉短舱上、下罩后缘,3,维修(无需更换）,4
R350,350,动力装置系统,发动机,发动机,热车后故障消失,发动机试车过程中，发动机工作异常并伴有喘振现象,冷机状态下，燃油雾化处于临界状态，易产生缺缸燃烧现象，热车后故障消失,非故障,4,无故障,4
R351,351,动力装置系统,发动机,冷却液回流管O型圈,发动机1号缸缸头冷却液弯头处O型圈失效,发动机1号缸缸头冷却液弯头处渗漏,O型圈失效,更换故障件,2,更换故障件,4
R352,352,动力装置系统,螺旋桨,防护贴,螺旋桨无损伤,防护贴裂纹,外物打伤,更换故障件,2,更换故障件,4
R353,353,动力装置系统,螺旋桨,防护贴,螺旋桨无损伤,防护贴裂纹,外物打伤,更换故障件,2,更换故障件,4
R354,354,动力装置系统,螺旋桨,桨距电机,桨距电机烧毁,地面进行桨距大增大减，微减无反应,桨距电机烧毁,更换故障件,1,更换故障件,4
R355,355,动力装置系统,螺旋桨,变距机构,变距机构卡滞,飞机在飞行过程中，桨距大增3次后，继续增桨距无效，但桨距减正常,变距机构卡滞,更换故障件,1,更换故障件,4
R356,356,动力装置系统,螺旋桨,防护贴,螺旋桨运转过程中偶然发生的杂物碰撞损伤,螺旋桨防护贴出现裂纹,螺旋桨运转过程中偶然发生的杂物碰撞损伤,更换故障件,2,更换故障件,4
R357,357,动力装置系统,螺旋桨,桨距电机,变距机构卡滞,调桨距时，桨距减幅度很小,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R358,358,动力装置系统,螺旋桨,桨距电机,变距机构卡滞,桨距减工作不正常,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R359,359,动力装置系统,螺旋桨,桨距电机,变距机构卡滞,大增大减不连续，微增微减无反应,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R360,360,动力装置系统,螺旋桨,桨距电机,变距机构卡滞,大增大减不连续，微增微减无反应,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R361,361,动力装置系统,螺旋桨,桨距电机,镜检发现在三组绕组端头附近有四处断点，断裂位置均位于熔融玻璃封装内,飞机在试车过程中无法对桨距进行增减,可能的原因一，交变热应力累积导致电机绕组的铜线断路或虚接；可能的原因二，绕组高速旋转带来离心剪切力造成铜线疲劳，与交变热应力累积造成的铜线强度下降耦合之后，离心力影响加剧铜线断路,更换故障件,2,更换故障件,4
R362,362,动力装置系统,螺旋桨,桨距电机,镜检发现在三组绕组端头附近有四处断点，断裂位置均位于熔融玻璃封装内,增减桨距无反应,可能的原因一，交变热应力累积导致电机绕组的铜线断路或虚接；可能的原因二，绕组高速旋转带来离心剪切力造成铜线疲劳，与交变热应力累积造成的铜线强度下降耦合之后，离心力影响加剧铜线断路,更换故障件,2,更换故障件,4
R363,363,动力装置系统,冷却液散热器,冷却液散热器,散热器本体损坏,冷却液散热器本体有渗漏,散热器支架安装应力过大导致散热器本体损坏，渗漏冷却液,更换故障件，改进设计,1,更换故障件，改进设计,4
R364,364,动力装置系统,冷却液散热器,冷却液散热器,散热器本体损坏,冷却液散热器局部有渗漏,散热器支架安装应力过大导致散热器本体损坏，渗漏冷却液,更换故障件，改进设计,1,更换故障件，改进设计,4
R365,365,动力装置系统,空滤支架,空滤支架,空滤支架断裂,空滤支架断裂,空滤支架材料强度不够,更换故障件，更改设计,1,更换故障件，改进设计,4
R365,365,动力装置系统,温度传感器,温度传感器线缆,温度传感器线缆破裂,排气2、4缸头温度传感器线缆破裂,振动摩擦导致磨损,更换故障件，并在传感器易磨损部位添加防磨套,2,更换故障件，改进设计,4
R366,366,动力装置系统,发动机,启动油路钢索,启动油路钢索太粗,启动油路回位不彻底，拆卸汽化器时启动油路钢索易打弯、分叉,起动油路钢索太粗，摩擦力过大,更换故障件，更改设计,1,更换故障件，改进设计,4
R367,367,动力装置系统,散热器,散热器支架,处于应力腐蚀环境,散热器支架与发动机机体连接处右侧圆杆断裂,应力腐蚀、过载造成断裂,更换故障件,2,更换故障件,4
R368,368,动力装置系统,废气活门舵机,废气活门舵机,分解故障舵机，舵机角位置传感器合金电刷脱落，经电镜检查未发现有焊接质量问题,地检12V电源开启后，TCU故障警告灯黄色闪烁，废气活门舵机不工作，未自检，弹簧未运动,舵机角位置传感器合金电刷脱落导致废气活门舵机故障，造成无法检测到信号而卡死,更换故障件,1,更换故障件，改进设计,4
R369,369,动力装置系统,燃油油滤口盖,十字螺钉,密封不严,燃油滤口盖处十字螺钉渗油,密封不严,更换故障件，并涂密封胶,2,更换故障件,4
R370,370,动力装置系统,燃油油滤口盖,十字螺钉,密封不严,燃油滤口盖处十字螺钉渗油,密封不严,更换故障件，并涂密封胶,2,更换故障件,4
R373,373,动力装置系统,起动油路,钢索,起动油路钢索与钢索接头连接处有断丝,起动油路钢索与钢索接头连接处有二分之一股断丝,NA,更换故障件,2,更换故障件，改进设计,4
R374,374,动力装置系统,散热器,支架,散热器支架焊点处断裂,地面检查发现散热器支架焊点处断裂,NA,更换故障件,2,更换故障件，改进设计,4
R375,375,动力装置系统,发动机,空气盒压力传感器,查看检测车数据，空气盒压力过高、空气盒温度过高。查看TCU数据，TCU测量的空气盒压力异常,试车过程中，节风门推至100%时，转速达到5700rpm，排气管冒黑烟，并有2次放炮声音,TCU测量的空气盒压力传感器插头接触不良导致测量数据出现“低指”现象，增压系统调节异常，在较大风门状态下，空气盒压力超限，同时带动空气盒温度超温，在此状态下，发动机产生了爆燃和高油燃烧,更换故障件,1,更换故障件，改进设计,4
R377,377,动力装置系统,螺旋桨,前缘防护贴,防护贴开裂,飞行后检查发现，一叶螺旋桨迎风刀面前缘金属保护薄膜出现疑似挤压的褶皱和2条裂纹，存在砂眼,承受较大外力造成防护贴开裂,更换故障件,2,更换故障件，改进设计,4
R378,378,动力装置系统,螺旋桨,桨距电机碳刷,碳刷断裂,在更换桨距电机油脂时，检查发现碳刷断裂成6个碎块,碳刷存在个别产品质量问题,更换螺旋桨变距电机,1,更换故障件,4
R379,379,动力装置系统,螺旋桨,桨距电机碳刷,电机两侧碳刷弹簧断裂，电机后壳断裂,增减桨距无效,碳刷与转子接触不良导致供电断路，导致电机后壳断裂,更换桨距电机,1,更换故障件,4
R381,381,动力装置系统,螺旋桨,桨距电机螺钉螺母垫片,电机内螺钉螺母有划伤，垫片缺失,桨距电机内部螺杆头不固定,螺钉螺母划伤、垫片缺失导致不固定,更换故障件,2,更换故障件,4
R382,382,动力装置系统,螺旋桨,桨距电机,内部短路,桨距电机不工作,桨距电机内部短路导致不工作,更换故障件,1,更换故障件,4
R383,383,动力装置系统,螺旋桨,桨距电机螺杆、碳刷,电机内部螺杆滑丝、碳刷断裂,桨距电机通电不工作,电机内部螺杆滑丝、碳刷断裂导致电机不工作,更换故障件,1,更换故障件,4
R383,383,动力装置系统,螺旋桨,桨距电机,通电检查运行正常，电阻正常,桨距角无法调到最小值,NA,非故障，按规程进行维护后恢复正常变距范围,4,维修(无需更换）,4
R383,383,动力装置系统,螺旋桨,桨距电机齿轮及护套环,通电检查正常，拆解发现齿轮磨损及护套环松动,桨距角无法调到最小值,齿轮磨损及护套环松动导致故障,更换故障件,2,更换故障件,4
R384,384,动力装置系统,螺旋桨,桨距电机端盖,驱动线缆自焊点断裂、螺钉松脱,桨距电机端盖松动,驱动线缆自焊点断裂且由于螺钉松脱导致电机端盖松动,更换桨距电机,1,更换故障件,4
R384,384,动力装置系统,螺旋桨,桨距电机,厂家检查测量最小变距角度为14°，按规程进行变距机构维护，检查各级齿轮及电机无异常,变距角度达不到标准,可能是由于存放时间过长导致油脂粘度增加导致,重新组装故障排除,3,维修(无需更换）,4
R385,385,导弹飞控系统,机载GPS接收机,机载GPS接收机,现场再次通电故障消失,BGPS故障信号灯显示红色,NA,非故障,4,无故障,5
R386,386,导弹飞控系统,机载GPS接收机,机载GPS接收机,第一次通电故障，第二次通电正常,第一次通电时GPS接收机未能正确定位飞机位置，第二次通电正常,器件老化失效,更换故障件,1,更换故障件,5
R387,387,导弹飞控系统,机载GPS接收机,机载GPS接收机,GPS接收机收星颗数少，收星时间长，器件老化,GPS接收机差分状态不稳定,器件老化导致卫星信号接收能力下降，接收灵敏度降低,更换故障件,1,更换故障件,5
R388,388,导弹飞控系统,机载GPS接收机,机载GPS接收机,GPS接收机收星颗数少，收星时间长，器件老化,GPS接收机差分状态不稳定,器件老化导致卫星信号接收能力下降，接收灵敏度降低,更换故障件,1,更换故障件,5
R389,389,导弹飞控系统,机载GPS接收机,机载GPS接收机,后期通电检查，上电3min，导航初始化开始定位；器件老化,飞行联试时，上电40min后差分信号中断,器件老化导致卫星信号接收能力下降，接收灵敏度降低,更换故障件,1,更换故障件,5
R390,390,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R391,391,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R392,392,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R393,393,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R394,394,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R395,395,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R396,396,导弹飞控系统,大气数据计算机,大气数据计算机,该批产品均出现故障,地面联试，左右大气数据计算机气压高度相差10左右,批次性产品质量问题,故障件返厂维修,1,维修(无需更换）,5
R397,397,导弹飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R398,398,导弹飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R399,399,导弹飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R400,400,导弹飞控系统,大气数据计算机,Ps传感器；Pt传感器,Ps、Pt传感器故障,气压高度超高,Ps、Pt传感器故障,更换故障件,2,更换故障件,5
R403,403,导弹飞控系统,无线电高度表,电位器RP2,返厂检测，误差超出正常精度范围-0.3m～0.3m,外场试验中，高度表测量值超出误差范围,电位器RP2调节错误导致误差,调节故障件,3,维修(无需更换）,5
R404,404,导弹飞控系统,无线电高度表,无线电高度表,高度表故障,无线高度表显示数值超出误差范围,高度表故障,更换故障件,1,更换故障件,5
R405,405,导弹飞控系统,速率陀螺组件,A通道航向陀螺仪,经查A通道航向故障,2号陀螺俯仰方向输出数值无变化,A通道航向故障导致2号陀螺俯仰方向输出数值无变化,更换故障件,1,更换故障件,5
R406,406,导弹飞控系统,速率陀螺组件,C通道航向陀螺仪,经查C通道航向故障,3号角速度陀螺俯仰通道无输出,C通道航向故障导致3号角速度陀螺俯仰通道无输出,更换故障件,1,更换故障件,5
R407,407,导弹飞控系统,速率陀螺组件,A通道航向陀螺仪,经查A通道航向故障,1号角速度陀螺俯仰通道无输出,A通道航向故障导致1号陀螺俯仰方向输出数值无变化,更换故障件,1,更换故障件,5
R408,408,导弹飞控系统,速率陀螺组件,线路控制板,常温状态故障未复现，低温状态下表现为有时会无法接通,速率陀螺中俯仰2号陀螺晃动时显示数据不正确,线路控制板故障,更换故障件,2,更换故障件,5
R409,409,导弹飞控系统,速率陀螺组件,角速率陀螺,上电检测发现俯仰2号偏航、1号无数据变化,滑行时，角速率陀螺故障,器件失效,更换故障件,1,更换故障件,5
R410,410,导弹飞控系统,速率陀螺组件,A通道俯仰陀螺仪；B通道俯仰陀螺仪,返厂检查，各通道性能合格但陀螺电机声音大,测控飞行中报一次故障,分析为单个陀螺超差导致故障,更换故障件,1,更换故障件,5
R411,411,导弹飞控系统,速率陀螺组件,A通道倾斜配套陀螺仪,地面检测A通道横滚陀螺故障，返厂检查A通道倾斜无梯度输出,飞行中陀螺报故,A通道倾斜配套陀螺仪故障导致陀螺报故,更换故障件,1,更换故障件,5
R412,412,导弹飞控系统,速率陀螺组件,C通道航向陀螺同步器,C通道航向陀螺同步器输出线圈缆线整形时受损,空中报一次故障,C通道航向陀螺同步器输出线圈缆线整形时受损，低温下收缩断裂，导致报故,返厂维修,1,维修(无需更换）,5
R413,413,导弹飞控系统,垂直陀螺,2N2222三极管,线路板上2N2222三极管损坏,飞行中2号垂直陀螺报故,线路板上2N2222三极管损坏,更换故障件,2,更换故障件,5
R417,417,导弹飞控系统,垂直陀螺,垂直陀螺,返厂复查合格,飞行时报故，飞参分析垂直陀螺输入值为“0”,NA,非故障,4,无故障,5
R418,418,导弹飞控系统,垂直陀螺,2N2222三极管,常温状态故障未复现，低温状态下发现线路板不延时,飞行时报故，飞参分析垂直陀螺输入值为“0”,线路板上2N2222三极管被击穿 ,更换故障件,2,更换故障件,5
R424,424,导弹飞控系统,垂直陀螺,垂直陀螺,2号垂直陀螺俯仰超差，俯仰角不稳定,开车时，2号垂直陀螺俯仰超差，俯仰角不稳定,2号垂直陀螺俯故障,更换故障件,1,更换故障件,5
R425,425,导弹飞控系统,垂直陀螺,垂直陀螺,调整后状况不变,垂直陀螺俯仰超差,垂直陀螺故障,更换故障件,1,更换故障件,5
R427,427,导弹飞控系统,差分GPS地面站接收机,差分GPS地面站接收机,产品年代久远,接收卫星速度慢，4分钟未定位，收星数明显少于同等条件下其他同型号的接收机,产品性能老化,更换故障件,1,更换故障件,5
R428,428,导弹飞控系统,飞控计算机,EPROM器件,CPU通道2的EPROM器件失效,处理器1中断口故障，处理器1CCDL口故障；处理器2中断口故障，处理器2CCDL口故障；处理器3RAM口故障，处理器3NVM口故障，处理器3定时器1口故障，处理器3通道故障口故障，处理器3中断口故障，处理器3CCDL口故障，处理器3CPU口故障,CPU通道2的EPROM器件失效,更换故障件,2,更换故障件,5
R429,429,导弹飞控系统,速率陀螺组件,软件,抗干扰天线中无GLOASS频点，射频天线缺少，环境温度较高,在飞机起飞离地过程中，速率陀螺报一次故障,抗干扰天线中无GLOASS频点，射频天线缺少，这部分增益导致接收机GLOASS射程通道输出功率小于正常值，同时在环境温度较高时，机箱温度升高，射频通道本身的增益也降低，以上因素导致GLOASS通道输出功率小于门限值，接收机报故障,更改软件，将对比GLOASS通道检测删除,2,更换故障件，改进设计,5
R430,430,导弹飞控系统,惯性导航部件,A1板；A12板,A1、A12板故障,惯导报“一级故障”,A1、A12板故障,更换故障件,2,更换故障件,5
R431,431,导弹飞控系统,惯性导航部件,多余轴锁定电路,多余轴锁定电路故障,惯导报二级故障，天线无法进入导航,多余轴锁定电路故障,更换故障件,2,更换故障件,5
R432,432,导弹飞控系统,惯性导航部件,校零开关,校零开关故障,惯导报二级故障,校零开关故障,更换故障件,2,更换故障件,5
R433,433,导弹飞控系统,惯性导航部件,导电环,间隔5分钟重新上电，惯导开机5秒后报二级故障,惯导开机时正常对准，50秒后报一级故障，惯导自动关闭,导电环故障,更换故障件,2,更换故障件,5
R435,435,导弹飞控系统,惯性导航部件,备用环,备用环故障,惯导报二级故障,备用环故障,更换故障件,2,更换故障件,5
R436,436,导弹飞控系统,INS/卫星/地标组合导航系统,滤波电容,滤波电容故障,惯导采用正常罗经对准，对准时间1812秒，状态码显示50，二级故障显示灯亮，故障信息显示“未定义”，惯导关闭5min后再开机采用正常罗经对准，对准时间785秒，状态码显示50，二级故障显示灯亮，故障信息显示“未定义”，惯导上的故障灯显示黑白相间的故障信号,滤波电容故障,更换故障件,2,更换故障件,5
R438,438,导弹飞控系统,通风盒,接线板,接线板故障,飞机加电约5min后听见前舱内发出一声异响，车上115V电源同时跳闸，随后在惯导通风口处有烟冒出,接线板故障导致惯导通风盒烧坏,更换通风盒,1,更换故障件,5
R439,439,导弹飞控系统,通风盒,A1板；A12板,A1、A12板故障,加电后，通风盒电机不转,A1、A12板故障,更换故障件,2,更换故障件,5
R440,440,导弹飞控系统,数传电台,数传电台,数传电台故障,接收不到地面差分GPS信号,数传电台故障,更换故障件,1,更换故障件,5
R442,442,导弹飞控系统,数传电台,数传电台,数传电台故障,飞机无DGPS信号,数传电台故障,更换故障件,1,更换故障件,5
R443,443,导弹飞控系统,数传电台,射频线,射频线受损,飞行时，主控车差分状态信号闪烁，电台作用距离超过5～9km后接受不正常，灵敏度低于标称,射频线受损,更换故障件,2,更换故障件,5
R444,444,导弹飞控系统,数传电台,信号电源,电台信号电源线插头松动,地面检测时无差分信号，上电时指示灯不亮,电台信号电源线插头松动导致插头焊脚虚焊致使指示灯不亮,用电烙铁加焊信号电源线管脚，用更换弹片、点胶的方式加固插头,3,维修(无需更换）,5
R445,445,导弹飞控系统,数传电台,电源模块,电源模块输入端地线断开,地面联试无差分信号，数传电台工作指示灯不亮,电源模块输入端地线断开，使得无法正常供电，指示灯不亮,将电源模块地线正确接入电路,3,维修(无需更换）,5
R446,446,导弹飞控系统,数传电台,电缆组件,电台天线电缆连接器导线接触簧片有形变,外场试验无法进行差分工作,导线接触簧片有形变，使用时由于振动原因造成接触不良,更换故障件,2,更换故障件,5
R447,447,导弹飞控系统,数传电台,电缆,屏蔽套把线缆扎破,数传电台空中作用距离低于正常值,屏蔽套把线缆扎破而短路,更改机上电缆，在金属屏蔽套和线缆之间增加热塑管,3,维修(无需更换）,5
R448,448,导弹飞控系统,数传电台,电缆,接通电源后指示灯不亮，串口无法接入数据，无法通过串口设置电台,外场试验中，数传电台工作指示灯不亮，且无法工作,电缆焊接松动,将原有电台结构件更换为具有卡口功能的结构件，对内部电缆重新焊接固定,2,维修(无需更换）,5
R449,449,导弹飞控系统,PCC数传电台,电缆,无法接收差分信号，且无法通过计算机连接设置,外场试验中无差分信号,由于lemo5芯插头可转动导致电缆焊接松动，影响模块与接插件正常通信及指示,将原有电台结构件更换为具有卡口功能的结构件，对内部线缆重新固定,2,维修(无需更换）,5
R450,450,导弹飞控系统,惯性导航部件,软件,DGPS接口程序错误判断DGPS数据,在地面联试中，导航模式为INS/DGPS时，惯导不规则报“DGPS无效”,卫通接口软件在解析DGPS数据时，会将时间包中的数据当作速度包中的某位来处理，不符合包头条件，造成数据丢包,更改了卫通接口软件,2,更换故障件，改进设计,5
R451,451,导弹飞控系统,惯性导航部件,导航软件,软件设计缺陷,加改装鉴定试飞中，飞机在折返飞行时，惯导报约3s的纯惯性状态,软件设计缺陷,对导航软件进行升级,2,更换故障件，改进设计,5
R452,452,导弹飞控系统,左副翼；襟副翼；扰流片控制盒,左副翼；襟副翼；扰流片控制盒,左副翼、襟副翼、扰流片控制盒故障,舵面检查时，左襟副翼报故显示RVDT1、DSP1、HALL1，模型监控1，欠压1，定时器1，AD转换1,左副翼、襟副翼、扰流片控制盒故障,更换故障件,1,更换故障件,5
R453,453,导弹飞控系统,右副翼；襟副翼；扰流片控制盒,右副翼；襟副翼；扰流片控制盒,右副翼、襟副翼、扰流片控制盒故障,右机翼舵机报欠压故障，余度2、DVDT2、DSP2、HALL2、模型监控2、欠压2、定时器2、AD转换2、余度1,右副翼、襟副翼、扰流片控制盒故障,更换故障件,1,更换故障件,5
R454,454,导弹飞控系统,右方向舵舵机,右方向舵舵机,性能复测、环境试验，故障未复现,在地面联试过程中，发生右方向舵舵机卡滞问题,产品返厂后，进行,非故障,4,无故障,5
R455,455,导弹飞控系统,速率陀螺组件,软件,抗干扰天线中无GLOASS频点，射频天线缺少，环境温度较高,起飞离地过程中，速率陀螺报一次故障,抗干扰天线中无GLOASS频点，射频天线缺少，这部分增益导致接收机GLOASS射程通道输出功率小于正常值，同时在环境温度较高时，机箱温度升高，射频通道本身的增益也降低，以上因素导致GLOASS通道输出功率小于门限值，接收机报故障,更改软件，将对比GLOASS通道检测删除,2,更换故障件，改进设计,5
R456,456,导弹飞控系统,飞控计算机,外部被采信号,故障接口为起落架压缩信号，产品后续经过各种环境试验未发现异常,飞行准备过程中，飞控计算机DIO离散输入输出板二次故障,故障接口为起落架压缩信号，该信号分三路送至飞控计算机采集，每路又被飞控计算机的两块DIO板进行读取，两块DIO板对三路信号的采集都不一致，因此分析故障与外部被采信号不稳定相关,该信号对飞行安全无影响，可以继续使用,4,无故障,5
R457,457,导弹飞控系统,惯性导航部件,导航软件,软件设计缺陷,加改装鉴定试飞中，飞机在折返飞行时，惯导报约3s的纯惯性状态,软件设计缺陷,对导航软件进行升级,2,更换故障件，改进设计,5
R458,458,导弹飞控系统,惯导/卫星组合导航系统,惯性导航部件,对当日飞行情况进行分析，出现惯导位置速度超差，重新对准惯导后，陀螺方位数据恢复正常；起飞前进行地面对准时进行了飞机舵面测试,飞机着陆后，未对惯导进行断电，现场拷贝该架机参数，陀螺方位轴Z轴存在异常,对准时进行了飞机舵面测试，该项工作有可能影响惯导对准精度，惯导报位速超差是由于地面对准时，航向出现较大漂移误差造成,更改飞机地面准备工艺流程，明确了在惯导对准过程中，不进行飞机其它准备工作,3,更换故障件，改进设计,5
R459,459,导弹飞控系统,GPS板卡,GPS板卡,经实际收星测试，接收机收星数量低于标准值，且解算困难，定位时间长；板卡老化,在机务准备过程中，静态联系完毕后，交测控后无差分信号,板卡老化，收星灵敏度下降,更换故障件,3,更换故障件,5
R460,460,导弹飞控系统,天线,天线,测试约6个小时，将串口输出的语句信息保存在TXT文档中，没有发现不定位的信息,天线经常出现突然无DGPS信号，且能够自行恢复正常,NA,非故障，继续观察使用,4,无故障,5
R461,461,飞行器平台,机体,机身,蒙皮对接缝处漆膜开裂，漆膜鼓包,机体左前机身下方有一处裂纹，其下方有一处鼓包,NA,补漆,3,维修(无需更换）,6
R462,462,飞行器平台,机体,尾撑管,制造缺陷,尾撑管尾部一托板螺母松动,制造缺陷,现场修理,3,维修(无需更换）,6
R463,463,飞行器平台,机体,机身,未按图纸开对接工艺槽,机身、机翼对接部位机身一侧后缘处有裂纹,未按图纸开对接工艺槽，对接时导致后缘蒙皮挤裂,重新加工,1,维修(无需更换）,6
R464,464,飞行器平台,机体,机身,未按图纸开对接工艺槽,机身、机翼对接部位机身一侧后缘处有裂纹,未按图纸开对接工艺槽，对接时导致后缘蒙皮挤裂,重新加工,1,维修(无需更换）,6
R465,465,飞行器平台,机体,机身,未按图纸开对接工艺槽,机身、机翼对接部位机身一侧后缘处有裂纹,未按图纸开对接工艺槽，对接时导致后缘蒙皮挤裂,重新加工,1,维修(无需更换）,6
R466,466,飞行器平台,机翼对接衬套,机翼对接衬套,衬套脱粘,机翼对接衬套松动，固定衬套用的胶粘性不强、7框机体两衬套划伤,衬套脱粘,更换故障件,2,更换故障件,6
R468,468,飞行器平台,右主起落架,缓冲支柱外筒,着陆过程中航向角与航迹角夹角过大,飞机着陆后检查发现右主起落架缓冲支柱外筒顶部有较大裂纹,由于着陆过程中航向角与航迹角夹角过大，产生侧向力，将起落架拉坏,更换起落架,1,更换故障件,6
R469,469,飞行器平台,左主起落架,缓冲支柱外筒,着陆过程中航向角与航迹角夹角过大,飞机着陆后检查发现左主起落架缓冲支柱外筒顶部有较大裂纹，舱门拉杆断裂,由于着陆过程中航向角与航迹角夹角过大，产生侧向力，将起落架拉坏,更换起落架,1,更换故障件,6
R470,470,飞行器平台,左主起落架,微动开关,控制微动开关电缆触头与控制微动开关间隙过大,左主起落架微动开关故障导致全压缩信号一直为0，无法正常起飞,微动开关电缆触头距离调整不到位，形成间隙过大，导致全压缩信号一直为0,控制微动开关电缆触头与控制微动开关接触距离，确保全压缩信号为1,3,维修(无需更换）,6
R471,471,飞行器平台,电源模块,电源模块,电源模块故障,电源模块发热并有糊味，无法预置刹车预置量,电源模块故障,更换故障件,1,更换故障件,6
R472,472,飞行器平台,电源模块,电源模块,电源模块故障,电源模块上电后外部温度高发烫,电源模块故障,更换故障件,1,更换故障件,6
R473,473,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器故障,地面联试过程中，检查刹车压力时发现刹车压力降低,刹车控制器故障,更换故障件,1,更换故障件,6
R474,474,飞行器平台,比例式电控刹车阀及控制器,压力传感器,压力传感器故障,刹车压力达不到规定值,压力传感器故障,更换故障件,1,更换故障件,6
R475,475,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器故障,输入刹车预置量时，没有刹车压力输出,刹车控制器故障,更换故障件,1,更换故障件,6
R476,476,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器故障,输入刹车预置量时，没有刹车压力输出,刹车控制器故障,更换故障件,1,更换故障件,6
R477,477,飞行器平台,比例式电控刹车阀及控制器,电机,电机故障,工作中刹车阀发热有糊味，预置刹车预置量刹车无反应,电机故障,更换故障件,1,更换故障件,6
R478,478,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器电路板故障,地面等待遥控检查时，右刹车100%时，刹车压力并没达到，机轮依然可转动，无法正常控制刹车压力,刹车控制器电路板故障,更换刹车控制器电路板,2,更换故障件,6
R479,479,飞行器平台,比例式电控刹车阀及控制器,油管,油管故障,刹车阀压力传感器与油管连接处漏油,油管故障,更换故障件,1,更换故障件,6
R480,480,飞行器平台,比例式电控刹车阀及控制器,刹车控制器,刹车控制器电路板故障,飞机接地滑跑刹车停稳后，无法解除刹车预置量和松刹车，反复置刹车压力100%和0%若干次后，发现可以松刹车,刹车控制器电路板故障,更换刹车控制器电路板,2,更换故障件,6
R484,484,飞行器平台,左主起落架,微动开关,左主起落架微动开关在半放下状态时AC已经处于断开状态,起落架应急放试验中，前起落架和右主起落架先后放下到位，但左主起落架在半放下状态时，检测车收到了起落架放下锁死信号，放下锁死灯燃亮，放下时间显示低于正常值，电动泵停止工作,起落架在应急放下过程中，由于左主起落架微动开关在半放下状态时AC已经处于断开状态，造成在前起落架和右起落架放下到位，但左主起落架没有到位时，三个放下锁死微动开关AC点都处于断开状态，飞控计算机误判出现了锁死信号，在左起落架没有完全放下情况下，发出停止电动泵工作指令，控制电动泵停止工作,调整微动开关，使左主起撑杆作动筒放下开锁至上锁行程中AC一直导通，上锁后AC断开,3,维修(无需更换）,6
R485,485,飞行器平台,主起落架,缓冲支柱,缓冲支柱密封件损坏,主起落架缓冲支柱外筒下部漏油,密封件损坏,更换密封件,2,更换故障件,6
R486,486,飞行器平台,主起落架,主起落架,对受损部件目视检查，并将左右侧主起接头起落架法兰盘安装区域及周围脱漆后进行无损检测，检测结果合格,主起落架飞行后检查发现起落架根部出现裂纹,表面漆有裂纹，金属件无问题,非故障,4,无故障,6
